Year,Round,College Code,College,Course,GM,1G,2AG,2BG,3AG,3BG,SCG,STG,GMH,1H,2AH,2BH,3AH,3BH,SCH,STH
2025,R3,E012,"E012 Sir M.Visvesvaraya Institute of Technology, Bangalore KRISHNADEVARAYANAGAR, HUNASAMARANAHALLI, VIA YELAHANKA,BANGALORE - 562 157","ROBOTICS AND ARTIFICIAL INTELLIGENCE",26957.5,31699,40668,,33868,31402,99784,189951,,,,,,,,
2025,R3,E014,"E014 S J C Institute of Technology, Chickkaballapur(AUTONOMOUS) P B NO. 20, B B ROAD, CHICKBALLAPUR, CHICKBALLAPUR (DISTRICT)","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",56185,115820,95587,92724,65013,66134,124306,69314,,,,,,,,
2025,R3,E014,"E014 S J C Institute of Technology, Chickkaballapur(AUTONOMOUS) P B NO. 20, B B ROAD, CHICKBALLAPUR, CHICKBALLAPUR (DISTRICT)","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",46679,104583,71206,130255,56841,92839,107681,70369,,,,,,,,
2025,R3,E014,"E014 S J C Institute of Technology, Chickkaballapur(AUTONOMOUS) P B NO. 20, B B ROAD, CHICKBALLAPUR, CHICKBALLAPUR (DISTRICT)","COMPUTER SCIENCE AND ENGINEERING",50611,85492,78568,62591,53524,66661,119217,86586,,,,,,,,
2025,R3,E016,"E016 Siddaganga Institute of Technology,Tumkur","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",9562,10726,13671,20382,10338,10461,31854.7,17087,,,,,,,,
2025,R3,E016,"E016 Siddaganga Institute of Technology,Tumkur","COMPUTER SCIENCE AND ENGINEERING",9809,17038,13113,18823,12125,12117,35795,38761,,,,,,,,
2025,R3,E016,"E016 Siddaganga Institute of Technology,Tumkur","INFORMATION SCIENCE AND ENGINEERING",12432,19863,14371,31733,13569,13444.5,50940,48070,,,,,,,,
2025,R3,E017,"E017 Sri Siddhartha Institute of Technology MARALUR ,TUMKUR","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",37311,46887,42131,67448,43447,58096,81271,44893,,,,,,,,
2025,R3,E017,"E017 Sri Siddhartha Institute of Technology MARALUR ,TUMKUR","COMPUTER SCIENCE AND ENGINEERING",50020,56778.7,73891,90626,69637,58683,102753,91118,,,,,,,,
2025,R3,E017,"E017 Sri Siddhartha Institute of Technology MARALUR ,TUMKUR","COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)",56944,122356,93178,103016,71430,58311,118195,130976,,,,,,,,
2025,R3,E017,"E017 Sri Siddhartha Institute of Technology MARALUR ,TUMKUR","COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE)",50216,178127,90588,68081,85149,67216,138009,114241,,,,,,,,
2025,R3,E021,"E021 Sri Jayachamarajendra College of Engineering(Constituent College of JSS Science & Technology University), Mysore JSS TECHNICAL INSTITUTIONS CAMPUS,MANASAGANGOTHRI PO,MYSORE","COMPUTER SCIENCE AND ENGINEERING",3156,5814,5984,8526,3921,4540,14975,7669,,,,,,,,
2025,R3,E031,"E031 B V V Sangha`s Basaveshwara Engineering College , Bagalkote (AUTONOMOUS) NIJALINGAPPA ROAD,BAGALKOT 587102","COMPUTER SCIENCE AND ENGINEERING",24315,31649,28188,36342,27473,26013,61734,73239,,,,,,,,
2025,R3,E034,"E034 SDM College of Engineering, Dharwad (AUTONOMOUS) DHAVALAGIRI,KALGHATGI ROAD,DHARWAD","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",17862,26067,23044,19660,24395,18361,62999,40923,,,,,,,,
2025,R3,E034,"E034 SDM College of Engineering, Dharwad (AUTONOMOUS) DHAVALAGIRI,KALGHATGI ROAD,DHARWAD","COMPUTER SCIENCE AND ENGINEERING",16711.5,24344,22687,16731,20834,17378,64587,56171,,,,,,,,
2025,R3,E034,"E034 SDM College of Engineering, Dharwad (AUTONOMOUS) DHAVALAGIRI,KALGHATGI ROAD,DHARWAD","INFORMATION SCIENCE AND ENGINEERING",20914,41469,25565,28100,25427,22654,63302,70702,,,,,,,,
2025,R3,E036,"E036 K L E Technological Univeristy, Belgaum Campus (Formerly KLE Dr M.S.Sheshagiri College of Engineering and Technology) UDYAMBAGH,BELGAUM","COMPUTER SCIENCE AND ENGG (ARTIFICIAL INTELLIGENCE)",23850,39123,31762,30949,28653,23851,74133,60164,,,,,,,,
2025,R3,E036,"E036 K L E Technological Univeristy, Belgaum Campus (Formerly KLE Dr M.S.Sheshagiri College of Engineering and Technology) UDYAMBAGH,BELGAUM","COMPUTER SCIENCE AND ENGINEERING",23578,27575,28962,34752,31492,24374,74562.5,76299,,,,,,,,
2025,R3,E037,"E037 K.L.S. Gogte Institute of Technology, Belgaum.(AUTONOMOUS) ""JNANA GANGA"", UDYAMBAG,BELGAUM","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",15720,27405,19066,17558,18147,17417,53126,35481,,,,,,,,
2025,R3,E037,"E037 K.L.S. Gogte Institute of Technology, Belgaum.(AUTONOMOUS) ""JNANA GANGA"", UDYAMBAG,BELGAUM","COMPUTER SCIENCE AND ENGINEERING",16368,23702,21647,26865,20667,18587,54006,55693,,,,,,,,
