Year,Round,College Code,College,Course,GM,1G,2AG,2BG,3AG,3BG,SCG,STG,GMH,1H,2AH,2BH,3AH,3BH,SCH,STH
2025,R3,E078,"E078 The Oxford College of Engineering, Bangalore HOSUR ROAD,BOMMANAHALLI,BANGALORE","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",43234,56913,50031,46274,43688,45678,76991,141088,,,,,,,,
2025,R3,E078,"E078 The Oxford College of Engineering, Bangalore HOSUR ROAD,BOMMANAHALLI,BANGALORE","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",38518,46829.5,49926,44027,46322,38883,94812,87778,,,,,,,,
2025,R3,E078,"E078 The Oxford College of Engineering, Bangalore HOSUR ROAD,BOMMANAHALLI,BANGALORE","COMPUTER SCIENCE AND ENGINEERING",38247,45319,48612,47036,42834,41574,100776,82387,,,,,,,,
2025,R3,E078,"E078 The Oxford College of Engineering, Bangalore HOSUR ROAD,BOMMANAHALLI,BANGALORE","INFORMATION SCIENCE AND ENGINEERING",49622,65863,66140,51420,56623,54956,139611,165213,,,,,,,,
2025,R3,E079,"E079 Acharya Institute of Technology, Soldevanahalli,Chikkabanavara post, Bangalore SOLDEVANAHALLI, HESARAGHATTA MAIN ROAD, CHIKKABANAVARA POST,BANGALORE URBAN","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",26494,29078,32717,34180,29468,31419,55885,64575,,,,,,,,
2025,R3,E079,"E079 Acharya Institute of Technology, Soldevanahalli,Chikkabanavara post, Bangalore SOLDEVANAHALLI, HESARAGHATTA MAIN ROAD, CHIKKABANAVARA POST,BANGALORE URBAN","COMPUTER SCIENCE AND ENGINEERING",27446.5,35617,37931,40645,29165,30000,65748,71793,,,,,,,,
2025,R3,E079,"E079 Acharya Institute of Technology, Soldevanahalli,Chikkabanavara post, Bangalore SOLDEVANAHALLI, HESARAGHATTA MAIN ROAD, CHIKKABANAVARA POST,BANGALORE URBAN","COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE)",30348,39561,33496,36868,33956,33245.5,79438,88740,,,,,,,,
2025,R3,E079,"E079 Acharya Institute of Technology, Soldevanahalli,Chikkabanavara post, Bangalore SOLDEVANAHALLI, HESARAGHATTA MAIN ROAD, CHIKKABANAVARA POST,BANGALORE URBAN","INFORMATION SCIENCE AND ENGINEERING",34378,44931,42934,46299,36654,36825,92874,98421,,,,,,,,
2025,R3,E079,"E079 Acharya Institute of Technology, Soldevanahalli,Chikkabanavara post, Bangalore SOLDEVANAHALLI, HESARAGHATTA MAIN ROAD, CHIKKABANAVARA POST,BANGALORE URBAN","ROBOTICS AND ARTIFICIAL INTELLIGENCE",36524,52563,50463,60696,37861,41144,110530,50777,,,,,,,,
2025,R3,E082,"E082 J S S Academy of Technical Education, Bangalore JSSATE CAMPUS,UTTARAHALLI-KENGERI ROAD ,BANGALORE 560060","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",21636,24854,27730,29340,23119,22652,77933,83241,,,,,,,,
2025,R3,E082,"E082 J S S Academy of Technical Education, Bangalore JSSATE CAMPUS,UTTARAHALLI-KENGERI ROAD ,BANGALORE 560060","COMPUTER SCIENCE AND ENGINEERING",20198,26291.5,26771,29885,21054,23738,66853,66668,,,,,,,,
2025,R3,E082,"E082 J S S Academy of Technical Education, Bangalore JSSATE CAMPUS,UTTARAHALLI-KENGERI ROAD ,BANGALORE 560060","INFORMATION SCIENCE AND ENGINEERING",26238,33916,32280,32567,28646,26505,90447,89138,,,,,,,,
2025,R3,E082,"E082 J S S Academy of Technical Education, Bangalore JSSATE CAMPUS,UTTARAHALLI-KENGERI ROAD ,BANGALORE 560060","ROBOTICS AND AUTOMATION",29619,46403,43677,,,,168731,65509,,,,,,,,
