Year,Round,College Code,College,Course,3AG,3AH,3AK,3AKH,3AR,3ARH,GM,GMH,GMK,GMKH,GMR,GMRH
2022,R1,E014,"S J C Institute of Technology Chickballapur","Information Science and Engineering",32191,,,,39849,,32149,,45606,,38384,
2022,R1,E015,"Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District","Computer Science and Engineering",50086,,,,,,44717,,46920,,47271,
2022,R1,E016,"Siddaganga Institute of Technology Tumkur","Artificial Intelligence and Data Science",10655,,,,,,10256,,21009,,11028,
2022,R1,E016,"Siddaganga Institute of Technology Tumkur","Computer Science (AI and Machine Learning)",9110,,,,,,8598,,15462,,10014,
2022,R1,E016,"Siddaganga Institute of Technology Tumkur","Computer Science and Engineering",5098,,,,,,5050,,8656,,6397,
2022,R1,E016,"Siddaganga Institute of Technology Tumkur","Information Science and Engineering",7208,,,,9186,,7046,,10965,,7400,
2022,R1,E017,"Sri Siddartha Institute of Technology Tumkur","Artificial Intelligence and Machine Learning",,,,,,,42790,,60474,,58071,
2022,R1,E017,"Sri Siddartha Institute of Technology Tumkur","Computer Science and Engineering",28091,,,,,,26902,,29376,,27773,
2022,R1,E017,"Sri Siddartha Institute of Technology Tumkur","Computer Science and Engineering - Data Science",,,,,,,35824,,,,48027,
2022,R1,E017,"Sri Siddartha Institute of Technology Tumkur","Information Science and Engineering",37036,,,,,,34820,,38651,,40054,
2022,R1,E018,"Kalpatharu Institute of Technology Tiptur","Computer Science and Engineering",38060,,,,,,37832,,43229,,43522,
2022,R1,E018,"Kalpatharu Institute of Technology Tiptur","Information Science and Engineering",54798,,,,55502,,54036,,59017,,55128,
2022,R1,E021,"Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore","Computer Science and Engineering",2055,,,,,,1567,,3058,,3087,
2022,R1,E028,"Tontadarya College of Engineering Gadag","Computer Science and Engineering",47496,,,,,,45571,,48868,,51612,
2022,R1,E029,"Maratha Mandal Engineering College Belgaum","Computer Science and Engineering",55934,,,,,,51614,,52313,,58829,
2022,R1,E031,"Basaveshwara Engineering College Bagalkot","Computer Science and Engineering",16373,,,,,,14937,,16228,,16547,
2022,R1,E032,"R.T.E Socity`s Rural Engineering College Hulkoti","Computer Science and Engineering",63270,,,,75207,,54384,,60198,,62789,
2022,R1,E033,"Sri Taralabalu Jagadguru Institute of Technology. Ranebennur","Computer Science and Engineering",72736,,,,,,51836,,60049,,60515,
2022,R1,E034,"Sri Dharmasthala Manjunatheswara College of Engineering Dharwad","Artificial Intelligence and Machine Learning",19175,,,,,,18594,,21810,,25102,
2022,R1,E034,"Sri Dharmasthala Manjunatheswara College of Engineering Dharwad","Computer Science and Engineering",9689,,,,,,8813,,11389,,10479,
2022,R1,E034,"Sri Dharmasthala Manjunatheswara College of Engineering Dharwad","Information Science and Engineering",15340,,,,,,11580,,14067,,14019,
2022,R1,E036,"KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum","Computer Science (Artificial Intelligence)",23294,,,,,,19922,,,,21832,
2022,R1,E036,"KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum","Computer Science and Engineering",19105,,,,21104,,15721,,16148,,18347,
2022,R1,E037,"K.L.S. Gogte Institute of Technology Belgaum","Computer Science and Engineering",9801,,,,14893,,9044,,9812,,11183,
2022,R1,E037,"K.L.S. Gogte Institute of Technology Belgaum","Information Science and Engineering",15746,,,,,,11676,,,,15853,
2022,R1,E038,"B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur","Computer Science (AI and Machine Learning)",43330,,,,,,40957,,45888,,55979,
2022,R1,E038,"B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur","Computer Science and Engineering",35269,,,,42521,,28158,,29328,,32047,
2022,R1,E038,"B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur","Information Science and Engineering",41507,,106821,,49250,,35956,,,,37731,
2022,R1,E040,"Hira Sugar Institute of Technology Belagavi District,","Computer Science and Engineering",57326,,,,59529,,38931,,41813,,42656,
2022,R1,E042,"Khaja Banda Nawaz University Kalburgi","Computer Science and Engineering",,,,,,,46336,,66592,,60204,
2022,R1,E043,"Gurunanak Dev Engineering College Bidar","Computer Science and Engineering",51498,,,,,,30768,,,,39946,
2022,R1,E043,"Gurunanak Dev Engineering College Bidar","Information Science and Engineering",,,,,,,50946,,,,60281,
2022,R1,E044,"Bheemanna Khandre Institute of Technology Bhalki","Computer Science (AI and Machine Learning)",,,151157,,,,59223,,,,,
2022,R1,E044,"Bheemanna Khandre Institute of Technology Bhalki","Computer Science and Engineering",,,,,,,38442,,,,49738,
2022,R1,E045,"Rao Bahadur Y.Mahabaleswarappa Engineering College Bellari","Computer Science and Engineering",48942,,,,,,38284,,49684,,47058,
2022,R1,E045,"Rao Bahadur Y.Mahabaleswarappa Engineering College Bellari","Information Science and Engineering",65863,,,,82628,,59470,,,,,
2022,R1,E046,"H K Es S L N College of Engineering Raichur","Computer Science and Engineering",,,,,,,55626,,67662,,68911,
2022,R1,E047,"Malnad College of Engineering Hassan","Computer Science (AI and Machine Learning)",,,,,,,16146,,40943,,19693,
2022,R1,E047,"Malnad College of Engineering Hassan","Computer Science and Engineering",12681,,,,,,12041,,20547,,15885,
2022,R1,E047,"Malnad College of Engineering Hassan","Information Science and Engineering",20723,,,,,,19053,,25970,,21414,
2022,R1,E048,"B M S College of Engineering Basavanagudi,Bangalore","Artificial Intelligence and Data Science",3112,,,,,,1940,,5294,,4996,
2022,R1,E048,"B M S College of Engineering Basavanagudi,Bangalore","Artificial Intelligence and Machine Learning",3082,,,,5821,,1998,,9524,,5497,
2022,R1,E048,"B M S College of Engineering Basavanagudi,Bangalore","Computer Science and Engineering",1488,,,,1866,,841,,2414,,1617,
2022,R1,E048,"B M S College of Engineering Basavanagudi,Bangalore","Computer Science and Engineering - Data Science",,,19222,,,,1403,,,,2924,
2022,R1,E048,"B M S College of Engineering Basavanagudi,Bangalore","Information Science and Engineering",1902,,,,,,1363,,4383,,2882,
2022,R1,E048,"B M S College of Engineering Basavanagudi,Bangalore","Computer Science - Internet of Things",,,,,9382,,1538,,6496,,5724,
2022,R1,E049,"Basaveshwara Engineering College Bagalkot","Artificial Intelligence and Machine Learning",36349,,,,,,31191,,31250,,37168,
2022,R1,E049,"Basaveshwara Engineering College Bagalkot","Computer Science and Engineering",19520,,,,,,18486,,,,18575,
2022,R1,E049,"Basaveshwara Engineering College Bagalkot","Information Science and Engineering",25901,,,,31301,,23849,,23932,,29112,
2022,R1,E054,"K V G College of Engineering Sullia,D.K District","Computer Science and Engineering",62372,,,,,,59690,,59752,,65721,
2022,R1,E057,"JSS Science and Technology University(Formerly SJCE) Mysore","Computer Science and Engineering",2674,,,,4687,,2575,,2651,,3727,
